date,regime,rolling_average,cpi_q_yoy,country
1976-07-01,1,13.070726283979008,17.20767957189835,IT
1976-10-01,1,13.88737167886077,21.125805212321392,IT
1977-01-01,1,14.735143534553117,21.68674888509956,IT
1977-04-01,1,15.423974134596381,18.805510609167307,IT
1977-07-01,1,16.047829958113844,18.43358998024691,IT
1977-10-01,1,16.43953152961857,15.06158962955726,IT
1978-01-01,1,16.642493971875357,12.871288607012566,IT
1978-04-01,1,16.693921662924748,12.090744757408922,IT
1978-07-01,1,16.712726968886503,11.943675605104541,IT
1978-10-01,1,16.709917159975294,11.58150697656486,IT
1979-01-01,1,16.630688772643538,12.920816239206555,IT
1979-04-01,1,16.490192635415855,13.592455546681759,IT
1979-07-01,1,16.198332939478266,14.802338306181827,IT
1979-10-01,1,15.84905512261096,17.684256251774187,IT
1980-01-01,1,15.757422513890134,20.638251973656185,IT
1980-04-01,1,15.816642717763397,20.894919453193552,IT
1980-07-01,1,16.1534369594692,21.796125820469747,IT
1980-10-01,1,16.64829407356934,21.47489472808708,IT
1981-01-01,1,17.038522961299755,20.048728231135414,IT
1981-04-01,1,17.26386188523763,20.616311319984693,IT
1981-07-01,1,17.362513969003512,19.180721247215928,IT
1981-10-01,1,17.224466488580525,18.364855603861674,IT
1982-01-01,1,16.991100430958504,17.019427732659143,IT
1982-04-01,1,16.824915406059144,15.481810111180083,IT
1982-07-01,1,16.738928136438382,16.713844587831606,IT
1982-10-01,1,16.815745558223597,16.59793806526162,IT
1983-01-01,1,16.979292091756115,16.142219277662996,IT
1983-04-01,1,17.17372083075596,15.979319537405834,IT
1983-07-01,1,17.274654639803273,13.962351786050743,IT
1983-10-01,1,17.337710181190165,12.84261780430267,IT
1984-01-01,1,17.295935991193172,12.08533243926675,IT
1984-04-01,1,17.187016083169716,11.414057386212573,IT
1984-07-01,1,16.97030808367531,10.46817831629372,IT
1984-10-01,1,16.55377404642866,9.353575506841217,IT
